,Name,Year,Price,Cl,Country,Category,Region,ID
1588,Gordon & Macphail Glen Keith Connoisseurs Choice Cask Strength 1993,1993,249.7,70 cl,Scotland,Liquor, Speyside,13442301
1589,Gordon & Macphail Mannochmore Connoisseurs Choice Cask Strength 1993,1993,268.61,70 cl,Scotland,Liquor, Speyside,13442601
1590,Gordon & Macphail Benriach Connoisseurs Choice Cask Strength 1999,1999,218.56,70 cl,Scotland,Liquor, Speyside,13442201
1591,Gordon & Macphail Balblair Connoisseurs Choice Cask Strength 1990,1990,639.9,70 cl,Scotland,Liquor, Highland,13442101
1592,Gordon & Macphail Glentauchers Connoisseurs Choice Cask Strength 1990,1990,838.5,70 cl,Scotland,Liquor, Speyside,13442001
1593,Gordon & Macphail Glenlivet Connoisseurs Choice Cask Strength 1986,1986,813.49,70 cl,Scotland,Liquor, Speyside,13441901
1594,Vaudon Extra,Non-Vintage,251.09,70 cl,France,Liquor, Cognac Tradisjonell,13442901
1595,Vaudon XO,Non-Vintage,146.3,70 cl,France,Liquor, Cognac Tradisjonell,13442801
1596,Vaudon 1996,1996,198.91,70 cl,France,Liquor, Cognac Tradisjonell,13443001
1597,Vaudon VSOP,Non-Vintage,67.77,70 cl,France,Liquor, Cognac Tradisjonell,13442701
1598,La Manufacture Benjamin Laroche Chablis Grand Cru Vaudésir 2019,2019,73.9,75 cl,France,White wine, Burgund,13444401
1599,Ch. des Bachelards Fleurie Le Clos Monopole,Non-Vintage,68.69,75 cl,France,Red wine, Burgund,13446001
1600,The Dublin Liberties 10 YO Single Malt,Non-Vintage,73.03,70 cl,Ireland,Liquor, Øvrige,13449701
1601,Clos de la Commaraine Pommard 1er Cru Monopole 2019,2019,142.61,75 cl,France,Red wine, Burgund,13450501
1602,Clos de la Commaraine Pommard 1er Cru Monopole 2018,2018,142.61,75 cl,France,Red wine, Burgund,13450601
1603,Barrat-Masson La Grande Homée Rosé de Saignée Brut Nature 2018,2018,69.04,75 cl,France,Sparkling wine, Champagne,13217801
1604,Delorme Jubileum Crémant de Bourgogne Blanc de Blancs 2016,2016,155.65,300 cl,France,Sparkling wine, Burgund,13455207
1605,Capezzana Ghiaie della Furba,Non-Vintage,73.95,75 cl,Italy,Red wine, Toscana,13474501
1606,Dom. de l'Enclos Chablis 1er Cru Beauroy 2019,2019,69.39,150 cl,France,White wine, Burgund,13478205
1607,Dom. de l'Enclos Chablis 1er Cru Montmains 2018,2018,78.87,150 cl,France,White wine, Burgund,13478505
1608,Dom. de l'Enclos Chablis 1er Cru Vau de Vey 2018,2018,75.91,150 cl,France,White wine, Burgund,13478105
1609,Dom. de l'Enclos Chablis Grand Cru Blanchot 2018,2018,111.74,150 cl,France,White wine, Burgund,13477705
1610,Girardin Meursault Blagny 1er Cru 2018,2018,67.48,75 cl,France,White wine, Burgund,13479301
1611,Faiveley Volnay 1er cru Santenots 2020,2020,70.43,75 cl,France,Red wine, Burgund,13479401
1612,Steintal Schlossberg Klingenberg GG 2018,2018,69.48,75 cl,Germany,Red wine, Franken,13502701
1613,Wein. Heitlinger Wormsberg Pinot Noir GG 2016,2016,112.61,75 cl,Germany,Red wine, Baden,13503401
1614,Casisano Colombaiolo Brunello di Montalcino Riserva,Non-Vintage,65.22,75 cl,Italy,Red wine, Toscana,13490401
1615,Cesare Bussolo Barolo del Comune di La Morra 2017,2017,86.08,75 cl,Italy,Red wine, Piemonte,13490901
1616,Maxime Trijol Cognac Petite Champagne 1991,1991,173.13,70 cl,France,Liquor, Cognac Tradisjonell,13485401
1617,Nikka Miyagikyo Singel Malt Limited Edition 2019,2019,4434.77,70 cl,Japan,Liquor, Øvrige,13511801
1618,Weinbach Eau-de-Vie Mirabelle,Non-Vintage,133.43,70 cl,France,Liquor, Alsace,13691101
1619,Weinbach Eau-de-Vie Poire Willams,Non-Vintage,128.6,70 cl,France,Liquor, Alsace,13691201
1620,Weinbach Eau-de-Vie Coing,Non-Vintage,128.6,70 cl,France,Liquor, Alsace,13691001
1621,La Spinetta Barolo Campé,Non-Vintage,112.95,75 cl,Italy,Red wine, Piemonte,13705401
1622,La Spinetta Barbaresco Starderi,Non-Vintage,104.25,75 cl,Italy,Red wine, Piemonte,13705601
1623,Ettore Germano Barolo Lazzarito Riserva 2015,2015,173.91,150 cl,Italy,Red wine, Piemonte,13692205
1624,Dom. Cyrot-Buthiau Pommard 1er Cru Les Arvelets,Non-Vintage,85.21,75 cl,France,Red wine, Burgund,13707401
1625,Murray McDavid Righ Seamas II Crafted Blend 2008 12 YO,Non-Vintage,85.57,70 cl,Scotland,Liquor, Øvrige,13706801
1626,Kopke Colheita 1965,1965,174.86,75 cl,Portugal,Port wine, Douro e Porto,13745301
1627,Ch. Talbot 2016,2016,82.17,75 cl,France,Red wine, Bordeaux,13732301
1628,Michel Forgeron Napoleon,Non-Vintage,69.17,50 cl,France,Liquor, Cognac Tradisjonell,13747502
1629,Louis Latour Chablis La Chanfleure 2021,2021,67.82,150 cl,France,White wine, Burgund,13747705
1630,Col d'Orcia Brunello di Montalcino 2001,2001,78.17,75 cl,Italy,Red wine, Toscana,13736301
1631,Niepoort Vintage Port 2019,2019,69.56,75 cl,Portugal,Port wine, Douro e Porto,13755001
1632,Ch. Haut-Baily 2018,2018,202.39,75 cl,France,Red wine, Bordeaux,13763701
1633,Legras St. Vincent Brut 2012,2012,599.12,300 cl,France,Sparkling wine, Champagne,13765107
1634,Ch. Lafite Rothschild 2004,2004,1055.43,75 cl,France,Red wine, Bordeaux,13765301
1635,Ch. Phélan-Ségur 2018,2018,122.53,75 cl,France,Red wine, Bordeaux,13767901
1636,Ch. Pichon Baron 2018,2018,303.26,75 cl,France,Red wine, Bordeaux,13767801
1637,Ch. Léoville Poyferré 2018,2018,175.43,75 cl,France,Red wine, Bordeaux,13768101
1638,Ch. Montrose 2018,2018,225,75 cl,France,Red wine, Bordeaux,13768001
1639,Jean-Luc Pasquet Le Cognac de Claude L.84 1984,1984,130.35,50 cl,France,Liquor, Cognac Tradisjonell,13776102
1640,Henri Rebourseau Gevrey-Chambertin 2018,2018,68.69,75 cl,France,Red wine, Burgund,13779101
1641,Henri Rebourseau Charmes-Chambertin Grand Cru 2018,2018,251.3,75 cl,France,Red wine, Burgund,13778801
1642,Ch. Giscours 2016,2016,69.39,75 cl,France,Red wine, Bordeaux,13787601
1643,Isole e Olena Cepparello 2018,2018,74.78,75 cl,Italy,Red wine, Toscana,13790601
1644,Ferrari Trento Brut F1,Non-Vintage,239.13,300 cl,Italy,Sparkling wine, Trentino-Alto Adige,13790507
1645,Isole e Olena Cepparello 2018,2018,151.3,150 cl,Italy,Red wine, Toscana,13790705
1646,Huré Frères 4 Elements Pinot Noir 2016,2016,72.17,75 cl,France,Sparkling wine, Champagne,13842101
1647,Ch. Gloria 2018,2018,100.87,150 cl,France,Red wine, Bordeaux,13846005
1648,Delamain Pléiade Collection Révélation Grande Champagne Malaville Cask 707-02,Non-Vintage,156.09,70 cl,France,Liquor, Cognac Brut,13846301
1649,Ch. Gruaud Larose 2005,2005,165.13,75 cl,France,Red wine, Bordeaux,13846601
1650,Ch. Gruaud Larose 2005,2005,311.3,150 cl,France,Red wine, Bordeaux,13846805
1651,Sebastien Dampt Chablis 1er Cru Vaillons 2020,2020,176.42,300 cl,France,White wine, Burgund,13853607
1652,Singleton Glendullan 19 YO Special Release,Non-Vintage,147.82,70 cl,Scotland,Liquor, Øvrige,13734901
1653,Royal Lochnagar 16 YO Special Release,Non-Vintage,213.04,70 cl,Scotland,Liquor, Øvrige,13734701
1654,Dom. de L'Arlot Nuits-Saint-Georges 1er Cru 2019,2019,115.21,75 cl,France,White wine, Burgund,13756101
1655,Ch. Brane-Cantenac 2010,2010,285.87,75 cl,France,Red wine, Bordeaux,13830901
1656,Lafite Rothschild Armagnac Vielle Réserve,Non-Vintage,1533.7,75 cl,France,Liquor, Armagnac,13831801
1657,Foradori Granato 2019,2019,199.99,300 cl,Italy,Red wine, Trentino-Alto Adige,13715307
1658,Lagavulin 26 YO Special Release,Non-Vintage,1739.13,70 cl,Scotland,Liquor, Islay,13734601
1659,Gordon & MacPhail Linkwood Connoisseurs Choice Cask Strength 1994,1994,271.56,70 cl,Scotland,Liquor, Speyside,13857501
1660,Ch. d'Yquem 2010,2010,475.16,75 cl,France,White wine, Bordeaux,13859401
1661,Montemercurio Vin Santo di Montepulciano 1992,1992,81.65,37.5 cl,Italy,White wine, Toscana,13864602
1662,Graham's 20 Years Old Tawny,Non-Vintage,319.57,450 cl,Portugal,Port wine, Douro e Porto,5666107
1663,Cast. Tricerchi A.D 1441 Brunello di Montalcino,Non-Vintage,73.9,75 cl,Italy,Red wine, Toscana,13870501
1664,Ch. Roubine Inspire blanc,Non-Vintage,65.62,150 cl,France,White wine, Provence,13891105
1665,Ch. Roubine Inspire rouge,Non-Vintage,66.06,150 cl,France,Red wine, Provence,13891205
1666,Ch. Cormeil-Figeac 2018,2018,260.87,500 cl,France,Red wine, Bordeaux,13893007
1667,Ch. Castagnac Fronsac 2018,2018,173.91,500 cl,France,Red wine, Bordeaux,13892807
1668,Ch. Castagnac Cuvée Prestige Bordeaux Supérieur 2018,2018,95.65,300 cl,France,Red wine, Bordeaux,13893107
1669,Ch. Castagnac Fronsac 2018,2018,100,300 cl,France,Red wine, Bordeaux,13893207
1670,Grignano Poggio Gualtieri Chianti Rufina Riserva 2015,2015,243.48,500 cl,Italy,Red wine, Toscana,13885407
1671,Grignano Poggio Gualtieri Chianti Rufina Riserva 2015,2015,169.57,300 cl,Italy,Red wine, Toscana,13885507
1672,GlenAllachie Single Cask 1989 PX #5585,Non-Vintage,556.51,70 cl,Scotland,Liquor, Speyside,13878901
1673,Sanlorenzo Brunello di Montalcino 2006,2006,129.57,75 cl,Italy,Red wine, Toscana,13880001
1674,Sanlorenzo Brunello di Montalcino Bramante Riserva 2015,2015,73.83,75 cl,Italy,Red wine, Toscana,13879901
1675,Ch. Haut-Bailly 2006,2006,117.57,75 cl,France,Red wine, Bordeaux,13919401
1676,Ch. La Clotte 2018,2018,77.57,75 cl,France,Red wine, Bordeaux,13919301
1677,Siro Pacenti PS Brunello di Montalcino Riserva,Non-Vintage,165.13,75 cl,Italy,Red wine, Toscana,13930701
1678,Bussia Soprana Barolo Vigna Gabutti,Non-Vintage,71.22,75 cl,Italy,Red wine, Piemonte,13931101
1679,Bussia Soprana Barolo Vigna Colonnello 2016,2016,78.17,75 cl,Italy,Red wine, Piemonte,13931001
1680,Les Parcellaires de Saulx Vosne-Romanée 2020,2020,73.03,75 cl,France,Red wine, Burgund,13933601
1681,Podere Forte Petrucci Anfiteatro 2016,2016,119.15,75 cl,Italy,Red wine, Toscana,13934601
1682,Podere Forte Petrucci Melo 2016,2016,119.15,75 cl,Italy,Red wine, Toscana,13934701
1683,Parusso Barolo Bussia 2018,2018,86.53,75 cl,Italy,Red wine, Piemonte,13934401
1684,Calvados Boulard XO Mizunara Cask Finish Batch 1,Non-Vintage,100.78,70 cl,France,Liquor, Calvados,13938701
1685,Rtvelisi XO,Non-Vintage,72.98,70 cl,Georgia,Liquor, Øvrige,13969401
1686,Tedeschi Maternigo Amarone della Valpolicella Riserva 2016,2016,91.22,75 cl,Italy,Red wine, Veneto,13954301
1687,Thiriet Côte de Nuits-Villages Les Retraits 2020,2020,71.3,75 cl,France,Red wine, Burgund,14006701
1688,Royal Tokaji Nyulászó Single Vineyard 2017,2017,86.95,50 cl,Hungary,White wine, Tokaj,14071202
1689,Royal Tokaji Szt.Tamás Single Vineyard 6 Puttonyos 2017,2017,86.95,50 cl,Hungary,White wine, Tokaj,14071302
1690,Nervi Gattinara 2018,2018,69.97,75 cl,Italy,Red wine, Piemonte,14060601
1691,Cognac Grosperrin 25 ans Bons Bois,Non-Vintage,130.17,70 cl,France,Liquor, Cognac Brut,14074001
1692,St Antony Orbel GG 2020,2020,73.47,150 cl,Germany,White wine, Rheinhessen,14076005
1693,Cantalupo Anno Primo Ghemme 2013,2013,65.22,150 cl,Italy,Red wine, Piemonte,13948205
1694,Rathfinny Classic Cuvée,Non-Vintage,71.73,150 cl,England,Sparkling wine, Sussex,14069005
1695,Fanny Sabre Volnay Premier Cru Les Mitans,Non-Vintage,78.25,75 cl,France,Red wine, Burgund,14068701
1696,Amrut 2014 Lightly Peated Ex-Bourbon,Non-Vintage,182.61,70 cl,India,Liquor, Øvrige,14090001
1697,North Star GlenAllachie 13 YO 2008 Oloroso Butt,Non-Vintage,166.87,70 cl,Scotland,Liquor, Speyside,14089301
1698,Compass Box Artist #11 Pentalogy Generosity,Non-Vintage,218.35,70 cl,Scotland,Liquor, Øvrige,14088201
1699,Amrut 2014 Brandy Finish,Non-Vintage,168.26,70 cl,India,Liquor, Øvrige,14090201
1700,Amrut 2014 Triple Distilled Ex-Bourbon,Non-Vintage,182.61,70 cl,India,Liquor, Øvrige,14090101
1701,Compass Box Artist #11 Pentalogy Confidence,Non-Vintage,118.09,70 cl,Scotland,Liquor, Øvrige,14088301
1702,North Star Glasgow 5 YO 2016 Hogshead,Non-Vintage,122.17,70 cl,Scotland,Liquor, Lowland,14089501
1703,Ten. San Leonardo 2013,2013,95.64,75 cl,Italy,Red wine, Dolomiti (Dolomiten),14091101
1704,L'Aventure Côte a Côte 2019,2019,108.7,75 cl,USA,Red wine, California,14122301
1705,Boscarelli Il Nocio Vino Nobile di Montepulciano 2017,2017,80.43,75 cl,Italy,Red wine, Toscana,14098901
1706,Ch. de Beaulon Vintage Cognac 1975,1975,400.3,70 cl,France,Liquor, Cognac Brut,14127601
1707,Broken Bones Old Tom Gin,Non-Vintage,68.17,50 cl,Slovenia,Liquor, Øvrige,14125302
1708,Broken Bones Ljubljana Dragon Gin,Non-Vintage,75.39,50 cl,Slovenia,Liquor, Øvrige,14125602
1709,Broken Bones Sloe Gin,Non-Vintage,73.83,50 cl,Slovenia,Liquor, Øvrige,14125402
1710,Bruno Clair Morey-Saint-Denis En la Rue de Vergy 2019,2019,66.09,75 cl,France,White wine, Burgund,14116101
1711,Bouchard Père & Fils Meursault Premier Cru Le Porusot 2019,2019,86.95,75 cl,France,White wine, Burgund,14154901
1712,Bouchard Père & Fils Meursault Premier Cru Les Gouttes d'Or 2019,2019,87.12,75 cl,France,White wine, Burgund,14155001
1713,Gardet Blanc de Noirs,Non-Vintage,69.43,150 cl,France,Sparkling wine, Champagne,14159805
1714,Lejeune Pommard 1er Cru Les Rugiens 2019,2019,91.13,75 cl,France,Red wine, Burgund,14168301
1715,Gérard Bertrand Clos d'Ora 2018,2018,164.35,75 cl,France,Red wine, Languedoc,14166201
1716,Dom. Tawse Chassagne-Montrachet 1er Cru Abbaye de Morgeot Barrel,Non-Vintage,74.7,75 cl,France,White wine, Burgund,14165201
1717,Pascal Clément Puligny-Montrachet 1er Cru Folatières 2019,2019,100,75 cl,France,White wine, Burgund,14169901
1718,Daniel El Travieso Cantos del Diablo 2019,2019,69.48,75 cl,Spain,Red wine, Castilla La Mancha,14168901
1719,Remoissenet Gevrey-Chambertin 2018,2018,110.49,150 cl,France,Red wine, Burgund,14174705
1720,Pago de Carraovejas 2018,2018,203.26,300 cl,Spain,Red wine,Castilla y León,14175307
1721,Finca Valpiedra Reserva 1996,1996,131.09,150 cl,Spain,Red wine, Rioja,14181905
1722,Finca Valpiedra Reserva 2009,2009,91.6,150 cl,Spain,Red wine, Rioja,14182105
1723,Finca Valpiedra Reserva 1999,1999,131.09,150 cl,Spain,Red wine, Rioja,14181605
1724,Duval-Leroy Femme de Champagne 2002,2002,247.83,75 cl,France,Sparkling wine, Champagne,14181301
1725,Xavier Monnot Volnay 1er Cru Clos Des Chenes 2019,2019,77.91,75 cl,France,Red wine, Burgund,14181001
1726,Ximénez-Spínola Palo Cortado,Non-Vintage,78.19,75 cl,Spain,Port wine, Andalucia,14186001
1727,Isle Of Harris Gin,Non-Vintage,68.25,70 cl,Great Britain,Liquor, Øvrige,14220401
1728,Renegade London Sparkling 2016,2016,95.65,75 cl,England,Sparkling wine, Suffolk,14250301
1729,Justin Girardin Corton-Charlemagne Grand Cru 2018,2018,165.21,75 cl,France,White wine, Burgund,14282001
1730,Justin Girardin Pommard 1er Cru Grands Epenots 2019,2019,69.56,75 cl,France,Red wine, Burgund,14282201
1731,Hutasse Millésime 2000,2000,86.93,75 cl,France,Sparkling wine, Champagne,14257301
1732,Ten. San Leonardo 2015,2015,95.64,75 cl,Italy,Red wine, Dolomiti (Dolomiten),14258901
1733,Ten. San Leonardo 2014,2014,95.64,75 cl,Italy,Red wine, Dolomiti (Dolomiten),14259001
1734,Ettore Germano Rosanna Rosé Extra Brut 2014,2014,67.83,150 cl,Italy,Sparkling wine, Piemonte,14260305
1735,Ettore Germano Alta Langa Riserva Pas Dosè 2014,2014,113.04,150 cl,Italy,Sparkling wine, Piemonte,14260405
1736,Ettore Germano Alta Langa Extra Brut 2015,2015,86.96,150 cl,Italy,Sparkling wine, Piemonte,14260105
1737,Louis Latour Meursault-Blagny 1er Cru Ch. de Blagny 2017,2017,346.09,300 cl,France,White wine, Burgund,14261307
1738,Franco Conterno Cascina Sciulun Langhe Nebbiolo 2019,2019,283.71,500 cl,Italy,Red wine, Piemonte,14260607
1739,Franco Conterno 7 Anni Barolo Riserva 2010,2010,904.3,500 cl,Italy,Red wine, Piemonte,14260707
1740,Franco Conterno Cascina Sciulun Langhe Nebbiolo 2019,2019,159.33,300 cl,Italy,Red wine, Piemonte,14260507
1741,Louis Jadot Corton-Charlemagne Grand Cru 2019,2019,156.09,75 cl,France,White wine, Burgund,14042201
1742,Himkok Old Tom Birch Gin,Non-Vintage,75.65,70 cl,Norway,Liquor, Oslo,14249701
1743,Carbon Brut,Non-Vintage,94.77,75 cl,France,Sparkling wine, Champagne,14325701
1744,Løynd Destillat av Morell,Non-Vintage,86.69,50 cl,Norway,Liquor, Vestland,14331202
1745,Løynd Destillat av Plomme,Non-Vintage,68.48,50 cl,Norway,Liquor, Vestland,14331302
1746,South Star Spirits Speyside 10 YO,Non-Vintage,77.74,70 cl,Scotland,Liquor, Speyside,14354201
1747,South Star Spirits Highland 10 YO,Non-Vintage,77.74,70 cl,Scotland,Liquor, Highland,14354301
1748,South Star Spirits Islay 8 YO,Non-Vintage,77.74,70 cl,Scotland,Liquor, Islay,14354401
1749,Cooper's Choice Benrinnes 2010 11 YO Pineau des Charentes Finish,Non-Vintage,113.65,70 cl,Scotland,Liquor, Speyside,14351801
1750,Wemyss Bunnahabhain Peach & Ginger Fizz 1990 28 YO Hogshead,Non-Vintage,256.09,70 cl,Scotland,Liquor, Islay,14348901
1751,The New Zealand Whisky Co. 33 YO 1988 Single Cask,Non-Vintage,373.91,50 cl,New Zealand,Liquor, South Island,14351202
1752,Amahagan World Malt Edition No.5 Sherry Wood Finish,Non-Vintage,121.74,70 cl,Japan,Liquor, Øvrige,14350801
1753,Abelé 1757 Champagne Le Sourire de Reims Brut Rosé 2008,2008,161.73,75 cl,France,Sparkling wine, Champagne,14350701
1754,Abelé 1757 Champagne Le Sourire de Reims Brut,Non-Vintage,275.21,150 cl,France,Sparkling wine, Champagne,14350605
1755,Abelé 1757 Champagne Brut 2008,2008,142.6,150 cl,France,Sparkling wine, Champagne,14350505
1756,Abelé 1757 Champagne Brut Vintage 2014,2014,66.86,75 cl,France,Sparkling wine, Champagne,14350401
1757,Quinta do Vallado Tawny 50 YO Port,Non-Vintage,191.3,50 cl,Portugal,Port wine, Douro e Porto,14355602
1758,Il Palazzone Brunello di Montalcino 2017,2017,173.83,300 cl,Italy,Red wine, Toscana,14356807
1759,Cooper's Choice Dalmunach Strawberries & Cream Ruby Port Finish,Non-Vintage,94.26,70 cl,Scotland,Liquor, Speyside,14352401
1760,Cooper's Choice Tamdhu Winter Fruits Ruby Port Finish,Non-Vintage,99.74,70 cl,Scotland,Liquor, Speyside,14352601
1761,Cooper's Choice Linkwood 2010 11 YO Muscat Finish,Non-Vintage,112.87,70 cl,Scotland,Liquor, Speyside,14352801
1762,Cooper's Choice North British 1992 29 YO Bourbon Cask,Non-Vintage,161.04,70 cl,Scotland,Liquor, Lowland,14352901
1763,Cooper's Choice Teaninich 2010 11 YO Calvados Cask Finish,Non-Vintage,113.04,70 cl,Scotland,Liquor, Highland,14353001
1764,Cooper's Choice Tomatin 2013 8 YO Tawny Port Finish,Non-Vintage,102.7,70 cl,Scotland,Liquor, Highland,14353101
1765,Dom. Weinbach Schlossberg Grand Cru Riesling 2020,2020,130.43,150 cl,France,White wine, Alsace,14387705
1766,Ch. Valandraud Saint-Emilion Grand Cru 2011,2011,207.74,75 cl,France,Red wine, Bordeaux,14385801
1767,Ch. Valandraud Saint-Emilion Grand Cru 2010,2010,330.43,75 cl,France,Red wine, Bordeaux,14385901
1768,Clos Cazals Blanc de Blancs Extra Brut 2012,2012,89.57,75 cl,France,Sparkling wine, Champagne,14372901
1769,Giacomo Anselma Barolo Vignarionda Riserva 2013,2013,403.39,300 cl,Italy,Red wine, Piemonte,14369707
1770,Richard Maniere Vosne-Romanée 2019,2019,94.7,75 cl,France,Red wine, Burgund,14369601
1771,Richard Maniere Vosne-Romanée 1er Cru Les Suchots 2019,2019,142.52,75 cl,France,Red wine, Burgund,14369501
1772,Dom. de Chevalier 2018,2018,99.57,75 cl,France,Red wine, Bordeaux,14390701
1773,Abelé 1757 Le Sourire de Reims Brut Rosé,Non-Vintage,326.09,150 cl,France,Sparkling wine, Champagne,14379005
1774,Bouchard Âiné & Fils Corton-Charlemagne Grand Cru 2020,2020,156.52,75 cl,France,White wine, Burgund,14375101
1775,Brane-Cantenac Blanc 2020,2020,68.26,75 cl,France,White wine, Bordeaux,14380701
1776,L'Esprit de Chevalier Rouge 2018,2018,68.3,150 cl,France,Red wine, Bordeaux,14388805
1777,Ch. Valandraud Saint-Emilion 1er Grand Cru Classé 2016,2016,217.3,75 cl,France,Red wine, Bordeaux,14398801
1778,Au Pied Du Mont Chauve Chassagne-Montrachet 1er cru Clos Saint Jean 2018,2018,68.69,75 cl,France,White wine, Burgund,14403401
1779,Francois Gaunoux Pommard 1er Cru Les Rugiens 2019,2019,139.12,75 cl,France,Red wine, Burgund,14407101
1780,St. Pauls Sanctissimus Weissburgunder,Non-Vintage,86.87,75 cl,Italy,White wine, Trentino-Alto Adige,14405801
1781,Francois Gaunoux Pommard 1er Cru Les Epenots 2019,2019,69.56,75 cl,France,Red wine, Burgund,14406901
1782,Francois Gaunoux Pommard 1er Cru Grands Epenots 2019,2019,82.6,75 cl,France,Red wine, Burgund,14407001
1783,Carbon Grand Cru Blanc de Blancs 2012,2012,414.77,150 cl,France,Sparkling wine, Champagne,14415005
1784,Carbon Grand Cru Blanc de Blancs 2015,2015,129.99,75 cl,France,Sparkling wine, Champagne,14415001
1785,Seguin-Manuel Corton-Charlemagne Grand Cru,Non-Vintage,359.5,150 cl,France,White wine, Burgund,14418405
1786,Franco Conterno Barolo Panerole 2013,2013,946.78,900 cl,Italy,Red wine, Piemonte,14422807
1787,Franco Conterno Barolo Panerole 2015,2015,1390.1,1200 cl,Italy,Red wine, Piemonte,14422907
1788,Ettore Germano Hérzu Langhe Riesling 2020,2020,73.04,150 cl,Italy,White wine, Piemonte,14421805
1789,Ettore Germano Barolo Prapò 2018,2018,121.74,150 cl,Italy,Red wine, Piemonte,14422005
1790,Ettore Germano Barolo Cerretta 2018,2018,121.74,150 cl,Italy,Red wine, Piemonte,14422105
1791,Ettore Germano Barolo Vignarionda 2017,2017,217.39,150 cl,Italy,Red wine, Piemonte,14422205
1792,Ettore Germano Barolo Lazzarito Riserva 2016,2016,173.91,150 cl,Italy,Red wine, Piemonte,14422305
1793,Ettore Germano Barolo Lazzarito Riserva 2016,2016,68.7,75 cl,Italy,Red wine, Piemonte,14422301
1794,Ettore Germano Barolo Serralunga d'Alba 2018,2018,82.61,150 cl,Italy,Red wine, Piemonte,14422505
1795,Franco Conterno Barolo Bussia Riserva 2013,2013,944.36,900 cl,Italy,Red wine, Piemonte,14422607
1796,Tertre Roteboeuf 2017,2017,267.13,75 cl,France,Red wine, Bordeaux,14427901
1797,Roc de Cambes 2017,2017,101.25,75 cl,France,Red wine, Bordeaux,14428101
1798,Bollinger PN TX17,Non-Vintage,99.99,75 cl,France,Sparkling wine, Champagne,14473301
1799,Mars Malt Duo Komagatake Chichibu,Non-Vintage,353.9,70 cl,Japan,Liquor, Øvrige,14503501
1800,GlenAllachie White Heather,Non-Vintage,82.6,70 cl,Scotland,Liquor, Øvrige,14503901
1801,GlenAllachie 10 YO French Oak,Non-Vintage,85.21,70 cl,Scotland,Liquor, Speyside,14504101
1802,GlenAllachie 10 YO Qhinquapin Oak,Non-Vintage,84.34,70 cl,Scotland,Liquor, Speyside,14504201
1803,GlenAllachie 8 YO,Non-Vintage,67.82,70 cl,Scotland,Liquor, Speyside,14504501
1804,Matrot Meursault 1er Cru Perrieres 2019,2019,97.39,75 cl,France,White wine, Burgund,14510301
1805,Matrot Puligny-Montrachet 1er Cru Les Chalumeaux 2019,2019,71.48,75 cl,France,White wine, Burgund,14510401
1806,North Star Dufftown 14 YO 2008 Hogshead,Non-Vintage,96.09,70 cl,Scotland,Liquor, Speyside,14536101
1807,North Star Braeval 13 YO 2009 Oloroso Sherry Butt,Non-Vintage,112.96,70 cl,Scotland,Liquor, Islay,14536201
1808,North Star Glen Moray 13 YO 2008 Red Wine Barrel,Non-Vintage,136.96,70 cl,Scotland,Liquor, Speyside,14536301
1809,Murray McDavid Glen Keith Mission Gold 1993 27 YO 1st Fill Oloroso Sherry,Non-Vintage,323.48,70 cl,Scotland,Liquor, Speyside,14536501
1810,Murray McDavid Glenallachie Benchmark 2021 12 YO,Non-Vintage,132.78,70 cl,Scotland,Liquor, Speyside,14536601
1811,Artist Collective 3.0 Miltonduff 2009 9 YO,Non-Vintage,85.83,70 cl,Scotland,Liquor, Speyside,14538601
1812,Glenburgie Artist #9 1995 Over 20 Years,Non-Vintage,286.43,70 cl,Scotland,Liquor, Speyside,14538501
1813,Camus Through The Grapevine Lot 1992 Fins Bois 4.0,Non-Vintage,192.35,70 cl,France,Liquor, Øvrige,14538801
1814,Togouchi Single Malt,Non-Vintage,90.44,70 cl,Japan,Liquor, Øvrige,14538901
1815,Clément XO Rhum,Non-Vintage,69.56,70 cl,Martinique,Liquor, Øvrige,14515901
1816,Admiral Rodney HMS Formidable,Non-Vintage,78.25,70 cl,St. Lucia,Liquor,not found,14516701
1817,Bertagna Nuits Saint George 1er Cru Les Murgers 2018,2018,86.95,75 cl,France,Red wine, Burgund,14521801
1818,Bertagna Vougeot Premier Cru Clos de la Perrière Monopole 2018,2018,86.95,75 cl,France,Red wine, Burgund,14522001
1819,Bertagna Vosne Romanée 1er Cru Les Beaux Monts 2018,2018,104.34,75 cl,France,Red wine, Burgund,14522101
1820,Selbach-Oster Zeltinger Sonnenuhr Riesling Spätlese feinherb Ur Alte Reben 2019,2019,68.52,150 cl,Germany,White wine, Mosel,14529305
1821,Dom. Jean Noël Gagnard Chassagne-Montrachet Premier Cru Les Petits Clos 2017,2017,112.17,75 cl,France,White wine, Burgund,14110201
1822,Bader-Mimeur Puligny-Montrachet 1er Cru Champ Gain 2018,2018,72.17,75 cl,France,White wine, Burgund,14109601
1823,Hepburn's Choice Blair Athol 11 YO Wine Finished 2009,2009,82.6,70 cl,Scotland,Liquor, Highland,14152801
1824,Ch. d Yquem Sauternes 2018,2018,387.02,75 cl,France,White wine, Bordeaux,14138301
1825,Raoul Gautherin Chablis 1er Cru Montmains 2019,2019,85.22,150 cl,France,White wine, Burgund,14140305
1826,Pierre Naigeon Vosne-Romanée Champs Perdrix 2019,2019,75.64,75 cl,France,Red wine, Burgund,14297001
