,Name,Year,Price,Cl,Country,Category,Region,ID
58,Fontanafredda Barolo Vigna la Rosa 2013,2013,77.83,75 cl,Italy,Red wine, Piemonte,3554101
59,Emidio Pepe Montepulciano d'Abruzzo Selezione Vecchie Vigne 2018,2018,86.95,75 cl,Italy,Red wine, Abruzzo,3618901
60,Ron Zaya Grand Reserva 12 YO,Non-Vintage,71.3,70 cl,Trinidad and Tobago            ,Liquor, Øvrige,3576401
61,Ron Cartavio XO,Non-Vintage,89.91,70 cl,Peru,Liquor, Øvrige,3576901
62,Comte Georges de Vogüé Bonnes-Mares Grand Cru,Non-Vintage,347.74,75 cl,France,Red wine, Burgund,3686601
63,Kongsgaard Syrah,Non-Vintage,143.48,75 cl,USA,Red wine, California,3665901
64,Riffault Sancerre Les Quarterons 2018,2018,66.09,150 cl,France,White wine, Loire,3656505
65,Clairin Sajous Rum Batch 2,Non-Vintage,66.08,70 cl,Haiti,Liquor,not found,2884301
66,Christian Drouin Le Calvados Horsd'Age,Non-Vintage,89.56,70 cl,France,Liquor, Calvados,3088001
67,Scavino Barolo Bric del Fiasc 2018,2018,88.86,75 cl,Italy,Red wine, Piemonte,2985501
68,Ch. La Tour Figeac 2014,2014,69.03,75 cl,France,Red wine, Bordeaux,3119701
69,Ch. Haut-Batailley 2012,2012,83.91,75 cl,France,Red wine, Bordeaux,3088801
70,Christian Drouin Calvados Les Millésimés 1973,1973,208.69,70 cl,France,Liquor, Calvados,3088101
71,Torre Muga Reserva 2019,2019,81.73,75 cl,Spain,Red wine, Rioja,3149201
72,Dartigalongue Bas Armagnac 1982,1982,191.3,150 cl,France,Liquor, Armagnac,3103005
73,Banfi Brunello di Montalcino 2014,2014,86.95,150 cl,Italy,Red wine, Toscana,3112605
74,Cuvée Solène No 99 Vieux,Non-Vintage,109.48,70 cl,France,Liquor, Cognac Tradisjonell,3263501
75,Amazone de Palmer Brut,Non-Vintage,121.74,75 cl,France,Sparkling wine, Champagne,3327801
76,Duval-Leroy Brut Réserve,Non-Vintage,600,900 cl,France,Sparkling wine, Champagne,3404107
77,J.Dupont Art Déco Grande Champagne XO,Non-Vintage,126.08,70 cl,France,Liquor, Cognac Tradisjonell,3399501
