,name,vpolet_price,vivino_price,region,country,ratings
85,Vieux Château Certan 2017,209.37,322.0, Bordeaux,France,4.5
86,Denis Mortet Gevrey-Chambertin Mes Cinq Terroirs 2018,86.08,150.0, Burgund,France,4.3
87,Jamet Condrieu Vernillon 2018,71.29,95.0, Rhône,France,4.2
88,De Montille Volnay 1er Cru Les Taillepieds 2018,106.09,260.0, Burgund,France,4.3
89,M. Chapoutier Hermitage Le Pavillon 2009,260.47,316.48, Rhône,France,4.5
90,Lisini Brunello di Montalcino Riserva 2015,85.63,144.99, Toscana,Italy,4.5
91,Cornelissen MunJebel BB Rosso 2018,73.91,101.5, Sicilia,Italy,4.3
92,Vietti Barolo Ravera 2017,147.82,160.0, Piemonte,Italy,4.1
93,Vietti Barolo Brunate 2017,147.81,160.0, Piemonte,Italy,4.1
94,Dominus Estate Napanook 2017,72.77,75.0, California,USA,4.2
95,Joh. Jos. Prüm Wehlener Sonnenuhr Riesling Spätlese 2019,69.48,97.5, Mosel,Germany,4.3
96,Brancaia Il Blu 2018,66.08,70.6, Toscana,Italy,4.3
97,Aldo Conterno Barolo Romirasco 2017,169.57,197.95, Piemonte,Italy,4.6
98,Vega Sicilia Unico 2012 2012,319.56,369.0, Castilla y León,Spain,4.7
99,Billecart-Salmon Cuvée Louis Blanc de blancs 2008,132.17,170.0, Champagne,France,4.5
100,Ferrero Brunello di Montalcino Riserva 2016,72.09,92.95, Toscana,Italy,4.3
101,Roagna Barolo Pira 2015,173.9,191.0, Piemonte,Italy,4.4
102,Heitz Cellar Trailside Vineyard Cabernet Sauvignon 2013,123.53,231.0, California,USA,4.5
103,Heitz Cellar Martha's Vineyard Cabernet Sauvignon 2013,221.94,231.0, California,USA,4.5
104,Vietti Barolo Rocche di Castiglione 2017,147.82,158.68, Piemonte,Italy,4.3
105,Heitz Cellar Trailside Vineyard Cabernet Sauvignon 2015,104.26,134.95, California,USA,4.4
106,Catena Zapata Malbec Adrianna Vineyard River Stones 2018,108.7,125.0, Mendoza,Argentina,4.7
107,Catena Zapata Malbec Adrianna Vineyard Fortuna Terrae 2018,67.39,71.0, Mendoza,Argentina,4.5
108,Brovia Barolo Rocche di Castiglione 2017,77.84,86.49, Piemonte,Italy,4.4
109,Dominus Estate Napanook 2016,77.1,90.0, California,USA,4.2
110,Reyneke Cabernet Sauvignon 2017,77.38,225.0, Coastal Region,Sør-Afrika,4.6
111,Guigal Condrieu La Doriane 2020,72.7,89.5, Rhône,France,4.3
112,Giodo Brunello di Montalcino 2017,120.06,198.0, Toscana,Italy,4.4
113,Quinta do Noval Vintage 2019,67.39,75.0, Douro e Porto,Portugal,4.6
114,Giovanni Rosso Langhe Nebbiolo Ester Canale Rosso 2018,108.69,120.44, Piemonte,Italy,4.5
115,Penfolds Bin 707 Cabernet Sauvignon 2019,268.69,395.0, South Australia,Australia,4.3
116,A. Karamolegos Papas 2017,80.0,121.0, Santorini,Hellas,4.5
117,J. M. Boillot Puligny-Montrachet 1er Cru Champs Canet 2019,86.06,89.95, Burgund,France,4.4
118,Aldo Conterno Barolo Bussia 2017,68.7,74.99, Piemonte,Italy,4.3
